room_code,player_id,username,sync_mode,delay_level,artificial_delay_ms,question_index,is_correct,perceived_latency_ms,server_rtt_ms,predicted_score,server_score,score_difference,reconciliation_required,timestamp
BM5554,vplayer-1,VirtualPlayer_1,server,none,0,1,TRUE,16,16,825,825,0,FALSE,"2026-08-31T16:35:10.890Z"
BM5554,vplayer-2,VirtualPlayer_2,server,none,0,1,TRUE,19,19,828,828,0,FALSE,"2026-08-31T16:35:13.437Z"
BM5554,vplayer-3,VirtualPlayer_3,server,none,0,1,TRUE,21,21,826,826,0,FALSE,"2026-08-31T16:35:14.255Z"
BM5554,vplayer-4,VirtualPlayer_4,server,none,0,1,TRUE,20,20,780,780,0,FALSE,"2026-08-31T16:35:14.600Z"
BM5554,vplayer-5,VirtualPlayer_5,server,none,0,1,TRUE,18,18,905,905,0,FALSE,"2026-08-31T16:35:14.951Z"
BM5554,vplayer-1,VirtualPlayer_1,server,none,0,2,TRUE,21,21,894,894,0,FALSE,"2026-08-31T16:35:35.292Z"
BM5554,vplayer-2,VirtualPlayer_2,server,none,0,2,TRUE,23,23,830,830,0,FALSE,"2026-08-31T16:35:35.642Z"
BM5554,vplayer-3,VirtualPlayer_3,server,none,0,2,FALSE,20,20,0,0,0,FALSE,"2026-08-31T16:35:35.934Z"
BM5554,vplayer-4,VirtualPlayer_4,server,none,0,2,TRUE,21,21,868,868,0,FALSE,"2026-08-31T16:35:36.270Z"
BM5554,vplayer-5,VirtualPlayer_5,server,none,0,2,FALSE,23,23,0,0,0,FALSE,"2026-08-31T16:35:36.647Z"
BM5554,vplayer-1,VirtualPlayer_1,server,none,0,3,TRUE,17,17,881,881,0,FALSE,"2026-08-31T16:35:56.987Z"
BM5554,vplayer-2,VirtualPlayer_2,server,none,0,3,TRUE,17,17,942,942,0,FALSE,"2026-08-31T16:35:57.379Z"
BM5554,vplayer-3,VirtualPlayer_3,server,none,0,3,FALSE,23,23,0,0,0,FALSE,"2026-08-31T16:35:57.679Z"
BM5554,vplayer-4,VirtualPlayer_4,server,none,0,3,TRUE,18,18,945,945,0,FALSE,"2026-08-31T16:35:57.987Z"
BM5554,vplayer-5,VirtualPlayer_5,server,none,0,3,TRUE,20,20,929,929,0,FALSE,"2026-08-31T16:35:58.341Z"
BM5554,vplayer-1,VirtualPlayer_1,server,none,0,4,TRUE,18,18,814,814,0,FALSE,"2026-08-31T16:36:18.633Z"
BM5554,vplayer-2,VirtualPlayer_2,server,none,0,4,TRUE,17,17,827,827,0,FALSE,"2026-08-31T16:36:18.944Z"
BM5554,vplayer-3,VirtualPlayer_3,server,none,0,4,FALSE,17,17,0,0,0,FALSE,"2026-08-31T16:36:19.245Z"
